title,time,location,link
Expensify Talk,Thurs Nov 8 6PM-8PM,HP Auditorium,https://www.facebook.com/events/317774632384278/
GM #3,Fri Nov 9 8PM-11PM,Wozniak Lounge,https://www.facebook.com/events/270969986957569/
